id,split
00066667,sft_train
00189f6a,sft_train
001b24c4,sft_train
001c63cb,sft_train
00208201,sft_train
0031df9c,sft_train
0040ff76,eval_holdout
00463d04,eval_holdout
0047365c,sft_train
004ef7c7,sft_train
0059df78,sft_train
005ad22a,sft_train
00600e6e,sft_train
00619cba,sft_train
00662ac2,sft_train
00674059,sft_train
006a46d3,sft_train
0073bcbb,sft_train
00754598,sft_train
008b52fd,sft_train
009a74b6,sft_train
00a3fd23,sft_train
00a77d86,sft_train
00c8ab45,eval_holdout
00d1932c,sft_train
00d8b3db,sft_train
00d9f682,eval_holdout
00ec1c63,sft_train
00ed1836,sft_train
00efa37c,sft_train
00fdc0be,sft_train
010055e2,sft_train
0106eb4a,sft_train
0122d53a,sft_train
01248b76,sft_train
0133bcec,sft_train
0140788e,grpo_holdout
01466f0b,grpo_holdout
014c4f83,sft_train
014c7478,sft_train
015430cf,sft_train
0162e157,sft_train
016482c8,sft_train
016c474c,sft_train
01714be2,sft_train
017a161b,sft_train
0184a864,sft_train
0186fc54,sft_train
018871ed,sft_train
018c6f61,sft_train
018d465c,grpo_holdout
01a065bb,sft_train
01a44deb,sft_train
01c5cb71,sft_train
01cd504a,sft_train
01d894fb,sft_train
01d96398,sft_train
01e395d0,sft_train
01f7d5de,eval_holdout
01f8c0c5,grpo_holdout
01f90423,sft_train
01fa1f37,eval_holdout
0201e198,sft_train
02021540,grpo_holdout
020a2ec4,sft_train
020d8b25,sft_train
02102281,sft_train
0214e81f,sft_train
021ed764,sft_train
0220c8b2,sft_train
0224a397,sft_train
0228335b,sft_train
022b5f8b,grpo_holdout
022c1a0d,sft_train
02324ba1,grpo_holdout
02356cb8,sft_train
023739fe,sft_train
023aa939,sft_train
0240254e,grpo_holdout
024101d9,sft_train
02422609,eval_holdout
024678e0,sft_train
02473b23,eval_holdout
025abbbb,sft_train
026106f5,sft_train
02778bd7,sft_train
028c71d7,sft_train
028fed0d,sft_train
0290f51a,sft_train
02a04b59,sft_train
02a57a2f,sft_train
02a66bcb,sft_train
02b8d816,sft_train
02beaa05,sft_train
02d4b022,grpo_holdout
02da60a0,grpo_holdout
02e2589e,sft_train
02e4851e,sft_train
02e70301,sft_train
02fae114,sft_train
02fb9923,sft_train
030479a6,sft_train
03135557,grpo_holdout
031a5f02,sft_train
0320b87e,sft_train
0320cf76,grpo_holdout
03249403,grpo_holdout
032fc96f,sft_train
0334b2bf,sft_train
033826f6,sft_train
033d2b33,sft_train
034930e2,sft_train
0375a010,sft_train
037921b9,sft_train
037c45c6,sft_train
037cbabf,sft_train
0383ca89,sft_train
039921f2,sft_train
03a04492,sft_train
03abf270,sft_train
03bf2ac0,sft_train
03c5783b,sft_train
03cb7b73,sft_train
03dc4d0c,sft_train
03deaa1c,sft_train
03e2bedc,sft_train
03e3c7b6,sft_train
03ed28b0,sft_train
03ef6857,sft_train
03f07b43,sft_train
03f9e9d2,eval_holdout
03fba6b6,sft_train
03fe3002,eval_holdout
0409e7d8,sft_train
04171e29,sft_train
04183bf9,sft_train
0422aab3,grpo_holdout
0429104b,sft_train
04322d27,sft_train
0440e6ab,sft_train
04415462,grpo_holdout
0446e032,sft_train
044cac3d,eval_holdout
044de524,sft_train
045a58f0,sft_train
046e8532,sft_train
04732729,sft_train
04768bb8,sft_train
047b775b,sft_train
047c4111,sft_train
049be61b,sft_train
049d892c,grpo_holdout
04b818d2,sft_train
04c1e45b,sft_train
04c23a05,eval_holdout
04c44df4,sft_train
04c6aa94,sft_train
04d492a9,sft_train
04f03c7e,grpo_holdout
04f569be,sft_train
050492a9,sft_train
0505ab22,sft_train
05195c8e,sft_train
0520a6ec,sft_train
052289d8,grpo_holdout
0528d502,sft_train
0536483a,sft_train
053dbbbc,grpo_holdout
053f4545,sft_train
053f87d3,sft_train
054c2488,sft_train
054d3e92,sft_train
056993ca,sft_train
057fa18f,sft_train
058b2d19,sft_train
05978845,sft_train
05992f55,sft_train
059af21b,sft_train
059bced5,sft_train
05aa40de,sft_train
05b5ffe1,sft_train
05c38073,sft_train
05c939be,sft_train
05d58fb3,sft_train
05d88aa8,sft_train
05d90bdf,grpo_holdout
05d979c3,grpo_holdout
05e780c4,grpo_holdout
05edae97,grpo_holdout
05fc4fcb,sft_train
05fcec41,sft_train
06048616,sft_train
06181e6a,grpo_holdout
062255e8,sft_train
06248efa,sft_train
0624c50c,sft_train
062ccf0e,sft_train
062fd9cb,sft_train
063564fa,eval_holdout
06412918,eval_holdout
0641ef58,sft_train
065abaf6,sft_train
06667a93,eval_holdout
06698d4e,sft_train
067a0668,grpo_holdout
06907f76,eval_holdout
06940ba0,sft_train
069813dc,eval_holdout
0698da5a,grpo_holdout
069dbaab,sft_train
06a9fd5b,sft_train
06b23a36,sft_train
06b3ee9d,sft_train
06c2734d,sft_train
06d1980f,sft_train
06d682ea,sft_train
06ef5c5c,eval_holdout
06f838d4,sft_train
07097221,sft_train
070991c8,sft_train
070e986f,sft_train
